,AllTotalQty,BuyTotalQty,SellTotalQty,YesTotalQty,NoTotalQty,YesBuyTotalQty,YesSellTotalQty,NoBuyTotalQty,NoSellTotalQty,AllMaxQty,BuyMaxQty,SellMaxQty,YesMaxQty,NoMaxQty,YesBuyMaxQty,YesSellMaxQty,NoBuyMaxQty,NoSellMaxQty,AllMinQty,BuyMinQty,SellMinQty,YesMinQty,NoMinQty,YesBuyMinQty,YesSellMinQty,NoBuyMinQty,NoSellMinQty,AllAvgQty,BuyAvgQty,SellAvgQty,YesAvgQty,NoAvgQty,YesBuyAvgQty,YesSellAvgQty,NoBuyAvgQty,NoSellAvgQty,AllTradeCount,BuyTradeCount,SellTradeCount,YesTradeCount,NoTradeCount,YesBuyTradeCount,YesSellTradeCount,NoBuyTradeCount,NoSellTradeCount,AllMaxPrice,BuyMaxPrice,SellMaxPrice,YesMaxPrice,NoMaxPrice,YesBuyMaxPrice,YesSellMaxPrice,NoBuyMaxPrice,NoSellMaxPrice,AllMinPrice,BuyMinPrice,SellMinPrice,YesMinPrice,NoMinPrice,YesBuyMinPrice,YesSellMinPrice,NoBuyMinPrice,NoSellMinPrice,AllAvgPrice,BuyAvgPrice,SellAvgPrice,YesAvgPrice,NoAvgPrice,YesBuyAvgPrice,YesSellAvgPrice,NoBuyAvgPrice,NoSellAvgPrice,ScalpTotalPnL,ScalpYesPnL,ScalpNoPnL,OverallPnL
9590,1094.0,547.0,547.0,80.0,1014.0,40.0,40.0,507.0,507.0,47.0,32.0,47.0,14.0,47.0,14.0,10.0,32.0,47.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.945652173913044,6.670731707317073,5.362745098039215,6.666666666666667,5.895348837209302,8.0,5.714285714285714,6.584415584415584,5.336842105263158,184,82,102,12,172,5,7,77,95,99.0,98.0,99.0,40.0,99.0,39.0,40.0,98.0,99.0,22.0,31.0,22.0,22.0,56.0,31.0,22.0,62.0,56.0,73.92934782608695,75.07317073170732,73.00980392156863,31.916666666666668,76.86046511627907,33.4,30.857142857142858,77.77922077922078,76.11578947368422,-1228.0,-162.0,-1066.0,-1422.8100000000006
7807,9.0,3.0,6.0,4.0,5.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.2857142857142858,1.0,1.5,2.0,1.0,,2.0,1.0,1.0,7,3,4,2,5,0,2,3,2,69.0,67.0,69.0,30.0,69.0,,30.0,67.0,69.0,1.0,1.0,30.0,30.0,1.0,,30.0,1.0,62.0,45.57142857142857,42.666666666666664,47.75,30.0,51.8,,30.0,42.666666666666664,65.5,123.0,120.0,3.0,123.4
9520,652.0,354.0,298.0,652.0,0.0,354.0,298.0,0.0,0.0,40.0,40.0,28.0,40.0,,40.0,28.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,7.494252873563219,11.0625,5.418181818181818,7.494252873563219,,11.0625,5.418181818181818,,,87,32,55,87,0,32,55,0,0,99.0,99.0,99.0,99.0,,99.0,99.0,,,72.0,76.0,72.0,72.0,,76.0,72.0,,,85.14942528735632,85.71875,84.81818181818181,85.14942528735632,,85.71875,84.81818181818181,,,-5279.0,-5279.0,0.0,111.59999999999945
9521,332.0,166.0,166.0,332.0,0.0,166.0,166.0,0.0,0.0,40.0,40.0,37.0,40.0,,40.0,37.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,7.904761904761905,10.375,6.384615384615385,7.904761904761905,,10.375,6.384615384615385,,,42,16,26,42,0,16,26,0,0,96.0,96.0,96.0,96.0,,96.0,96.0,,,77.0,81.0,77.0,77.0,,81.0,77.0,,,89.54761904761905,90.3125,89.07692307692308,89.54761904761905,,90.3125,89.07692307692308,,,-190.0,-190.0,0.0,-255.54999999999836
9473,448.0,224.0,224.0,376.0,72.0,188.0,188.0,36.0,36.0,45.0,36.0,45.0,45.0,36.0,34.0,45.0,36.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,1.0,8.296296296296296,11.789473684210526,6.4,8.0,10.285714285714286,10.444444444444445,6.482758620689655,36.0,6.0,54,19,35,47,7,18,29,1,6,99.0,97.0,99.0,99.0,25.0,97.0,99.0,23.0,25.0,23.0,23.0,25.0,75.0,23.0,75.0,77.0,23.0,25.0,82.01851851851852,87.3157894736842,79.14285714285714,90.55319148936171,24.714285714285715,90.88888888888889,90.34482758620689,23.0,25.0,15.0,-57.0,72.0,-49.030000000000655
9474,1230.0,615.0,615.0,1040.0,190.0,520.0,520.0,95.0,95.0,61.0,61.0,55.0,61.0,40.0,61.0,55.0,40.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.72340425531915,11.826923076923077,6.910112359550562,9.454545454545455,6.129032258064516,13.0,7.428571428571429,7.916666666666667,5.0,141,52,89,110,31,40,70,12,19,98.0,98.0,96.0,98.0,57.0,98.0,96.0,56.0,57.0,35.0,37.0,35.0,62.0,35.0,62.0,63.0,37.0,35.0,71.59574468085107,72.17307692307692,71.25842696629213,78.24545454545455,48.0,78.35,78.18571428571428,51.583333333333336,45.73684210526316,-1240.0,-1000.0,-240.0,-1667.8100000000004
9458,612.0,307.0,305.0,572.0,40.0,286.0,286.0,21.0,19.0,32.0,32.0,11.0,32.0,8.0,32.0,11.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.9282296650717705,3.411111111111111,2.563025210084034,2.948453608247423,2.6666666666666665,3.364705882352941,2.623853211009174,4.2,1.9,209,90,119,194,15,85,109,5,10,99.0,99.0,98.0,99.0,57.0,99.0,98.0,55.0,57.0,42.0,43.0,42.0,43.0,42.0,43.0,43.0,45.0,42.0,70.13875598086125,72.94444444444444,68.01680672268908,71.58247422680412,51.46666666666667,74.21176470588236,69.53211009174312,51.4,51.5,-510.0,-373.0,-137.0,-533.1999999999994
9457,672.0,336.0,336.0,384.0,288.0,192.0,192.0,144.0,144.0,38.0,38.0,28.0,38.0,38.0,38.0,28.0,38.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.280373831775701,9.882352941176471,4.602739726027397,5.907692307692308,6.857142857142857,9.142857142857142,4.363636363636363,11.076923076923077,4.9655172413793105,107,34,73,65,42,21,44,13,29,68.0,68.0,68.0,62.0,68.0,62.0,62.0,68.0,68.0,28.0,31.0,28.0,28.0,42.0,31.0,28.0,42.0,43.0,50.35514018691589,51.23529411764706,49.945205479452056,47.61538461538461,54.595238095238095,49.142857142857146,46.88636363636363,54.61538461538461,54.58620689655172,-295.0,-258.0,-37.0,-415.30000000000064
9441,266.0,178.0,88.0,176.0,90.0,103.0,73.0,75.0,15.0,30.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.1891891891891895,12.714285714285714,3.8260869565217392,6.285714285714286,10.0,11.444444444444445,3.8421052631578947,15.0,3.75,37,14,23,28,9,9,19,5,4,96.0,96.0,79.0,96.0,57.0,96.0,79.0,57.0,55.0,21.0,21.0,25.0,39.0,21.0,61.0,39.0,21.0,25.0,59.351351351351354,58.857142857142854,59.65217391304348,66.85714285714286,36.0,71.77777777777777,64.52631578947368,35.6,36.5,-4426.0,-3021.0,-1405.0,-1591.1399999999999
9442,538.0,269.0,269.0,276.0,262.0,138.0,138.0,131.0,131.0,22.0,22.0,22.0,22.0,14.0,22.0,22.0,14.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.075757575757576,6.404761904761905,2.988888888888889,5.0181818181818185,3.4025974025974026,8.625,3.5384615384615383,5.038461538461538,2.5686274509803924,132,42,90,55,77,16,39,26,51,88.0,87.0,88.0,88.0,76.0,87.0,88.0,76.0,72.0,22.0,29.0,22.0,34.0,22.0,46.0,34.0,29.0,22.0,55.984848484848484,58.095238095238095,55.0,62.61818181818182,51.246753246753244,63.8125,62.12820512820513,54.57692307692308,49.549019607843135,-498.0,-257.0,-241.0,-617.3299999999995
9396,122.0,60.0,62.0,0.0,122.0,0.0,0.0,60.0,62.0,13.0,13.0,10.0,,13.0,,,13.0,10.0,1.0,2.0,1.0,,1.0,,,2.0,1.0,3.935483870967742,6.0,2.9523809523809526,,3.935483870967742,,,6.0,2.9523809523809526,31,10,21,0,31,0,0,10,21,99.0,98.0,99.0,,99.0,,,98.0,99.0,5.0,60.0,5.0,,5.0,,,60.0,5.0,70.48387096774194,83.8,64.14285714285714,,70.48387096774194,,,83.8,64.14285714285714,-1396.0,0.0,-1396.0,-1454.8000000000002
9424,355.0,191.0,164.0,132.0,223.0,66.0,66.0,125.0,98.0,30.0,30.0,11.0,11.0,30.0,11.0,10.0,30.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.622448979591837,4.897435897435898,2.7796610169491527,3.5675675675675675,3.6557377049180326,5.076923076923077,2.75,4.8076923076923075,2.8,98,39,59,37,61,13,24,26,35,99.0,99.0,91.0,53.0,99.0,52.0,53.0,99.0,91.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,52.0,21.0,50.88775510204081,56.48717948717949,47.186440677966104,31.35135135135135,62.73770491803279,31.615384615384617,31.208333333333332,68.92307692307692,58.142857142857146,-3549.0,-27.0,-3522.0,-711.2500000000005
9379,3904.5,1955.25,1949.25,1467.0,2437.5,735.0,732.0,1220.25,1217.25,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.887878787878788,9.9251269035533,6.541107382550336,7.371859296482412,8.234797297297296,8.855421686746988,6.310344827586207,10.703947368421053,6.688186813186813,495,197,298,199,296,83,116,114,182,86.0,85.0,86.0,76.0,86.0,75.0,76.0,85.0,86.0,20.0,24.0,20.0,20.0,34.0,24.0,20.0,41.0,34.0,57.266666666666666,57.70558375634518,56.97651006711409,51.11055276381909,61.4054054054054,52.06024096385542,50.43103448275862,61.81578947368421,61.14835164835165,-6268.75,-2726.0,-3542.75,-6600.299999999999
9380,1362.0,696.0,666.0,310.0,1052.0,170.0,140.0,526.0,526.0,30.0,30.0,30.0,30.0,30.0,24.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.283422459893048,7.909090909090909,6.7272727272727275,7.045454545454546,7.356643356643357,8.947368421052632,5.6,7.6231884057971016,7.108108108108108,187,88,99,44,143,19,25,69,74,75.0,74.0,75.0,48.0,75.0,47.0,48.0,74.0,75.0,32.0,38.0,32.0,32.0,52.0,38.0,32.0,52.0,53.0,59.903743315508024,61.21590909090909,58.73737373737374,42.43181818181818,65.27972027972028,42.578947368421055,42.32,66.34782608695652,64.28378378378379,-2325.0,-1478.0,-847.0,-2516.640000000001
9344,332.0,204.0,128.0,217.0,83.0,137.0,80.0,45.0,38.0,30.0,30.0,30.0,30.0,18.0,30.0,30.0,15.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.148148148148148,6.8,5.333333333333333,8.346153846153847,3.1923076923076925,8.5625,8.0,3.4615384615384617,2.923076923076923,54,30,24,26,26,16,10,13,13,69.0,69.0,65.0,47.0,69.0,47.0,46.0,69.0,65.0,35.0,35.0,38.0,35.0,57.0,35.0,38.0,57.0,57.0,50.81481481481482,50.4,51.333333333333336,41.84615384615385,60.76923076923077,41.375,42.6,62.46153846153846,59.07692307692308,-3207.0,-2097.0,-654.0,-693.6200000000008
9343,954.0,516.0,438.0,853.0,40.0,425.0,428.0,31.0,9.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.037974683544304,7.701492537313433,4.813186813186813,5.6866666666666665,8.0,6.746031746031746,4.919540229885057,15.5,3.0,158,67,91,150,5,63,87,2,3,97.0,96.0,97.0,97.0,38.0,96.0,97.0,31.0,38.0,31.0,31.0,32.0,65.0,31.0,65.0,66.0,31.0,32.0,81.9493670886076,81.38805970149254,82.36263736263736,83.77333333333333,34.0,83.31746031746032,84.10344827586206,31.0,36.0,-5135.0,-320.0,-625.0,-1323.7699999999995
9305,1381.0,704.0,677.0,901.0,480.0,464.0,437.0,240.0,240.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.758426966292135,7.910112359550562,7.606741573033708,7.571428571428571,8.135593220338983,7.483870967741935,7.666666666666667,8.88888888888889,7.5,178,89,89,119,59,62,57,27,32,82.0,82.0,79.0,82.0,64.0,82.0,79.0,63.0,64.0,39.0,39.0,44.0,43.0,39.0,43.0,44.0,39.0,45.0,63.79213483146067,64.74157303370787,62.842696629213485,68.21848739495799,54.86440677966102,69.12903225806451,67.2280701754386,54.666666666666664,55.03125,-3519.0,-3349.0,-170.0,-1110.3500000000017
9306,565.0,300.0,265.0,380.0,185.0,205.0,175.0,95.0,90.0,30.0,30.0,30.0,30.0,25.0,30.0,30.0,11.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.075268817204301,7.6923076923076925,4.907407407407407,8.444444444444445,3.8541666666666665,11.38888888888889,6.481481481481482,4.523809523809524,3.3333333333333335,93,39,54,45,48,18,27,21,27,77.0,77.0,76.0,65.0,77.0,65.0,63.0,77.0,76.0,39.0,39.0,42.0,39.0,51.0,39.0,42.0,51.0,51.0,58.064516129032256,58.30769230769231,57.888888888888886,51.644444444444446,64.08333333333333,50.833333333333336,52.18518518518518,64.71428571428571,63.592592592592595,-2709.0,-1895.0,-814.0,234.10000000000173
9268,286.0,143.0,143.0,0.0,286.0,0.0,0.0,143.0,143.0,30.0,30.0,28.0,,30.0,,,30.0,28.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,7.15,7.944444444444445,6.5,,7.15,,,7.944444444444445,6.5,40,18,22,0,40,0,0,18,22,97.0,96.0,97.0,,97.0,,,96.0,97.0,68.0,68.0,69.0,,68.0,,,68.0,69.0,88.1,91.05555555555556,85.68181818181819,,88.1,,,91.05555555555556,85.68181818181819,-761.0,0.0,-761.0,-825.9800000000002
9269,358.0,179.0,179.0,358.0,0.0,179.0,179.0,0.0,0.0,30.0,26.0,30.0,30.0,,26.0,30.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,7.458333333333333,7.782608695652174,7.16,7.458333333333333,,7.782608695652174,7.16,,,48,23,25,48,0,23,25,0,0,79.0,79.0,79.0,79.0,,79.0,79.0,,,62.0,64.0,62.0,62.0,,64.0,62.0,,,69.45833333333333,70.43478260869566,68.56,69.45833333333333,,70.43478260869566,68.56,,,-697.0,-697.0,0.0,-770.0099999999993
9210,2362.0,2136.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,29.0,,,,,,,1.0,1.0,1.0,,,,,,,11.466019417475728,17.088,2.7901234567901234,,,,,,,206,125,81,0,0,0,0,0,0,78.0,78.0,69.0,,,,,,,27.0,27.0,29.0,,,,,,,49.99514563106796,49.248,51.148148148148145,,,,,,,-90196.0,0.0,0.0,-1461.7500000000005
9209,4202.0,3305.0,897.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,,,,,,,1.0,1.0,1.0,,,,,,,12.25072886297376,16.2807881773399,6.4071428571428575,,,,,,,343,203,140,0,0,0,0,0,0,96.0,96.0,96.0,,,,,,,6.0,34.0,6.0,,,,,,,65.3527696793003,65.6256157635468,64.95714285714286,,,,,,,-157653.0,0.0,0.0,-2440.72
9159,385.0,281.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,,,,,,,1.0,1.0,1.0,,,,,,,9.871794871794872,14.05,5.473684210526316,,,,,,,39,20,19,0,0,0,0,0,0,99.0,99.0,92.0,,,,,,,83.0,83.0,85.0,,,,,,,87.84615384615384,87.8,87.89473684210526,,,,,,,-15471.0,0.0,0.0,51.05999999999949
9140,1133.0,1000.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,25.0,,,,,,,1.0,1.0,1.0,,,,,,,14.907894736842104,19.23076923076923,5.541666666666667,,,,,,,76,52,24,0,0,0,0,0,0,98.0,98.0,97.0,,,,,,,39.0,39.0,63.0,,,,,,,68.30263157894737,68.09615384615384,68.75,,,,,,,-58590.0,0.0,0.0,-2139.3100000000004
9117,2850.0,2488.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,30.0,,,,,,,1.0,1.0,1.0,,,,,,,11.089494163424124,15.55,3.731958762886598,,,,,,,257,160,97,0,0,0,0,0,0,94.0,92.0,94.0,,,,,,,31.0,31.0,33.0,,,,,,,68.1284046692607,68.08125,68.20618556701031,,,,,,,-142212.0,0.0,0.0,-1235.5700000000027
9076,8866.0,7836.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,70.0,,,,,,,1.0,1.0,1.0,,,,,,,25.33142857142857,40.184615384615384,6.645161290322581,,,,,,,350,195,155,0,0,0,0,0,0,94.0,93.0,94.0,,,,,,,17.0,17.0,18.0,,,,,,,65.59714285714286,67.7025641025641,62.94838709677419,,,,,,,-418466.0,0.0,0.0,-6612.390000000004
9116,6068.0,4573.0,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,31.0,,,,,,,1.0,1.0,1.0,,,,,,,11.874755381604697,18.741803278688526,5.599250936329588,,,,,,,511,244,267,0,0,0,0,0,0,97.0,97.0,97.0,,,,,,,32.0,32.0,37.0,,,,,,,69.9706457925636,70.82786885245902,69.187265917603,,,,,,,-208483.0,0.0,0.0,-5341.259999999996
9077,2746.0,2152.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,54.0,,,,,,,1.0,1.0,1.0,,,,,,,19.755395683453237,38.42857142857143,7.156626506024097,,,,,,,139,56,83,0,0,0,0,0,0,99.0,99.0,99.0,,,,,,,72.0,72.0,73.0,,,,,,,85.48920863309353,83.94642857142857,86.53012048192771,,,,,,,-130063.0,0.0,0.0,-411.39000000000215
9049,12501.0,11587.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,54.0,,,,,,,1.0,1.0,1.0,,,,,,,31.01985111662531,52.90867579908676,4.967391304347826,,,,,,,403,219,184,0,0,0,0,0,0,90.0,90.0,89.0,,,,,,,25.0,25.0,29.0,,,,,,,56.898263027295286,58.48401826484018,55.01086956521739,,,,,,,-609536.0,0.0,0.0,-11260.470000000003
9048,8201.0,6952.0,1249.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,99.0,,,,,,,1.0,1.0,1.0,,,,,,,33.888429752066116,53.89147286821706,11.053097345132743,,,,,,,242,129,113,0,0,0,0,0,0,99.0,97.0,99.0,,,,,,,5.0,37.0,5.0,,,,,,,67.00413223140495,67.27131782945736,66.69911504424779,,,,,,,-346330.0,0.0,0.0,-5945.130000000001
8997,349.0,234.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,29.0,,,,,,,1.0,1.0,1.0,,,,,,,11.258064516129032,16.714285714285715,6.764705882352941,,,,,,,31,14,17,0,0,0,0,0,0,99.0,96.0,99.0,,,,,,,80.0,80.0,80.0,,,,,,,83.70967741935483,82.64285714285714,84.58823529411765,,,,,,,-9614.0,0.0,0.0,237.7800000000002
9008,9308.0,6886.0,2422.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,99.0,,,,,,,1.0,1.0,1.0,,,,,,,12.874135546334717,22.50326797385621,5.808153477218226,,,,,,,723,306,417,0,0,0,0,0,0,95.0,95.0,95.0,,,,,,,23.0,29.0,23.0,,,,,,,64.88934993084371,66.55882352941177,63.66426858513189,,,,,,,-315036.0,0.0,0.0,-15854.750000000004
8973,879.0,637.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,,,,,,,1.0,1.0,1.0,,,,,,,13.523076923076923,19.303030303030305,7.5625,,,,,,,65,33,32,0,0,0,0,0,0,97.0,97.0,97.0,,,,,,,7.0,26.0,7.0,,,,,,,80.86153846153846,82.06060606060606,79.625,,,,,,,-32447.0,0.0,0.0,-287.7000000000012
8956,478.0,389.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,,,,,,,1.0,1.0,1.0,,,,,,,13.657142857142857,17.681818181818183,6.846153846153846,,,,,,,35,22,13,0,0,0,0,0,0,80.0,80.0,79.0,,,,,,,69.0,69.0,70.0,,,,,,,72.94285714285714,72.22727272727273,74.15384615384616,,,,,,,-21349.0,0.0,0.0,25.130000000000564
8912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3000.0
